"název","kvalita","popis"
"Spektrum home HD","SD","Program pro kutily. Kanál se zaměřuje na ženy a muže zajímající se o bydlení, dům a zahradu, nebo ty, kteří hledají inspiraci, konkrétní rady a doporučení od odborníků, jak tyto úpravy provést vlastníma rukama."
"Sport1 HD","HD","Sportovní televizní program."
"Sport2 HD","HD","Sportovní televizní program."
"YachtingTV","HD","Exkluzivní obsah především pro milovníky tohoto krásného životního stylu z oblasti yachtingu. Kanál je v angličtině a vysílá 24/7."
"Šláger Muzika","SD","Televize, která hraje písničky, které máte rádi: lidovky, dechovky, harmoniky, trampské a osvědčené šlágry."
"Šláger Original","HD","Vysílá české, moravské a slovenské písničky a tím chce zachovat národní tradice všech regionů. Jako bonus nabízí nejen tradiční folklor, ale i nové písničky nejrůznějších žánrů. Vše doprovází mluvené slovo i zábavné programy."
"SlowTV letiště Praha","SD",""
"Jednotka","HD","Široké spektrum pořadů zpravodajských, publicistických, zábavných pořadů a filmů."
"Dvojka","HD","Bohatší nabídka dokumentárně publicistických pořadů, zpravodajství a důležitých sportovních přenosů, ale naleznete zde i zábavné pořady, seriály a filmy."
"SVJ 4750","HD",""
"TA3 HD","HD","První soukromá zpravodajská televizní stanice na Slovensku, která vysílá 24 hodin denně zpravodajské a publicistické pořady."
"Zruseno ThaiTV","SD","Zpravodajství, informace, zábava z Thajska."
"TLC HD","HD","Lifestylová televizní stanice především pro ženy. Vyjadřuje se k tématům a problémům, se kterými se ve svém každodenním životě setkávají: například zdraví, rodina, kariéra, vztahy, přátelství, móda a volný čas. Její záběr je skutečně široký, od pořadů typu proměna a svatební plánování až po vychovávání dětí, vaření, osobní růst nebo úpravu a dekoraci interiérů."
"TV Lux HD","HD","Slovenská katolická televize."
"TV NOE HD","HD","Vysílání zaměřené na křesťanského diváka, předkládá ale divákům i různé nekonfesní vzdělávací pořady z oblasti historie a přírodních věd (zejména astronomie a biologie) či pohádky pro děti."
"TV8.SK HD","HD","Slovenská televize s nabídkou audiotextových služeb - hry, kvízy, interaktivní pořady."
"TVP1 HD","HD","Polská veřejnoprávní TV."
"TVP2 HD","HD","Polská veřejnoprávní TV - různorodé pořady (dokumentární, historické, talkshow, game-show), zaměřen je ale především na zábavu: stand-up comedy, komediální show, kabaret a tematické talk show (například o cestování nebo cizích kulturách)."
"TVP3 HD","HD","Polský zpravodajský a informační kanál."
"TV Spark HD","HD","dokumentárně-diskusní kanál, který je zaměřený na diskuse a na atraktivní dokumentární filmy z divácky nejzajímavějších oblastí se zaměřením na historii a přírodu, ale i na aktuální témata současnosti. Kanál je ve slovenštině a vysílá 24/7."
"Ginx HD","SD","největší světová síť pro esporty. 7/7 lineární 24hodinový kanál se snaží rozšířit dosah esportů v lineární TV. Kromě živých turnajů nabízí GINX divákům 24hodinové esports novinky, živé formáty zábavy, vyprávění příběhů, týmy, události z celého světa."
"TravelChannel HD","HD","Světové cestování. Travel Channel přináší praktické rady při výběru a plánování opravdové dovolené a zároveň umožňuje divákům jednoduše sedět a zprostředkovaně si užívat fascinujících míst ve společnosti poutavých reportérů z celého světa. (v češtině)"
"Unian","HD","Ukrainský veřejný televizní kanál - zprávy o politické a sociální sféře, zprávy o filmovém průmyslu, populární filmy, programy vlastní produkce, stejně jako hudební klipy - to vše je k dispozici 24 hodin denně!"
"MTVs 00","SD","Hudební kanál zaměřený na období kolem roku 2000 bude skvěle doplňovat současnou hudbu na MTV Hits i klasický obsah z 80. a 90. let v portfoliu MTV."
"WDR HD","HD","Německá zpravodajská stanice."
"ZDF HD","HD","Německá celoplošná veřejnoprávní televize."
"ZDF Info HD","HD","Německá veřejnoprávní televize. Informační pořady a zpravodajství."
"ZDF Neo HD","HD","Německé zábavní relace, fascinující dokumenty, zábavní hudební pořady, hrané filmy, úspěšné mezinárodní seriály a komedie. Celovečerní filmy nebudou jenom americké produkce, ale také kvalitní evropské filmy, které nejsou zajímavé pro komerční televize."
"Žatec náměstí","HD",""
"CRo PLUS","SD",""
"ČRo 1-Radiožurnál","SD",""
"CRo 2-Dvojka","SD",""
"CRo 3-Vltava","SD",""
"CRo Dvojka Plus","SD",""
"CRo D-dur","SD",""
"CRo Junior","SD",""
"CRo JAZZ","SD",""
"CRo Region","SD",""
"CRo Radio Wave","SD",""
"CRo Radio Praha","SD",""
"Proglas","SD",""
"Country Rádio","SD",""
"DnBradio","SD",""
"Evropa2","SD",""
"Evropa2 Flashback","SD",""
"Evropa2 Hot","SD",""
"Evropa2 Movin","SD",""
"Evropa2 Top40","SD",""
"Express Rádio","SD",""
"Frekvence 1","SD",""
"F1 Československé hity","SD",""
"F1 Legendy","SD",""
"F1 Osmdesátky","SD",""
"Jemne Z","SD",""
"Jemne S","SD",""
"Patria FM","SD",""
"Radio 7","SD",""
"Rádio Beat","SD",""
"Rádio Blaník","SD",""
"Rádio ReggaeKing","SD",""
"Rádio City","SD",""
"RC Devadesátka","SD",""
"RC Milenium","SD",""
"RC Osmdesátka","SD",""
"RC Zóna lásky","SD",""
"Radio FM","SD",""
"Rádio Impuls","SD",""
"Radio Lumen","SD",""
"Rádio Pohádka","SD",""
"Regina BA","SD",""
"Regina BB","SD",""
"Regina KE","SD",""
"RockMax Rádio","SD",""
"RockRadio","SD",""
"Rockzone 105.9","SD",""
"Slovensko","SD",""
"EXTASY 4K PLATINUM","UHD","Prémiový erotický program pro dospělé, který je k dispozici ve 24 hodinové verzi a přináší TOP hardcore filmy."
"Love Nature 4K","UHD","Dokumentární program zaměřený na divokou přírodu v exotických zemích."
"LeoTV HD","HD","Erotický program z české produkce, který se prezentuje pod sloganem Tvoje denní dávka neřesti. Přes den je rozdělený do čtyřhodinových bloků s původní produkcí, v noci zařadí i živé vysílání."
"SlowTV-Cvilín","SD",""
"CNN Prima News HD","HD","Domácí a mezinárodní zpravodajství zajištěné rozsáhlou síti reportérů CNN po celém světě. Diváci tak získají aktuální informace v reálném čase z míst, kam se většina ostatních redakcí dostane jen obtížně, s odstupem anebo vůbec."
"ČT3 HD","HD","Veřejnoprávní kanál vysílá výběr ze zlatého televizního fondu ČT, tematické magazíny i základní informační servis spojený nyní s COVID-19."
"BBC Earth HD","HD","Dokumentární pořady věnované vědě a technice, vědeckým postupům při vyšetřování zločinu a další související oblasti."
"DTX HD","HD","Kanál zaměřený zejména na mužské publikum ve věku od 18–45 let, kteří milují automobilové sporty a extrémní zábavu - rychlá auta, jídlo, peníze a samozřejmě všechny druhy sportu."
"SlowTV Krušná TV","SD",""
"SlowTV Panorama TV","SD",""
"Poslanecká sněmovna","HD",""
"CS History","HD","CS History (bývalá WAR TV) je tematická televize, která po novém nepřináší pouze pořady s vojenskou a konspirační tématikou, ale také historické pořady věnované širší škále témat."
"CS Horror","HD","CS Horror (bývalý Horor film) je jediná stanice ve střední Evropě, která se specializuje na vysílání děsivých filmů a pořadů."
"RiK TV HD","HD","Slovenský dětský kanál"
"Prima Star HD","HD","Kanál pro všechny milovníky klasické ""Prima"" zábavy (archivní pořady FTV PRIMA)."
"Nova Lady HD","HD","Program pro dámské publikum, které se může těšit na seriály, filmy, reality show, včetně pořadů z produkce Novy."
"Prima Show HD","HD","Láska, napětí, zábava, vzrušení, soutěže, dobrodružství i velké výhry v televizní realitě. Sledujte nové reality show i reprízy vašich oblíbených pořadů."
"RTVS24 HD","HD","Archivní filmy, seriály, hudbu, zábavu a dokumenty veřejnoprávní Slovenské i České televize."
"HGTV HD","HD","Lifestylový program zaměřený na dům a zahradu."
"Ukraińskie Radio","SD",""
"Devin","SD",""
"Jemne V","SD",""
"PatriaRD","SD",""
"Nova Titulky","SD",""
"Arcadia World HD","SD",""
"France 24 HD FR","HD",""
"HBO MAX","SD",""
"Levharti Chomutov","HD",""
"ÚTV","HD",""
"Teletext ČT","SD",""
"KLADNo.1","HD",""
"i-Vysočina-cz","HD",""
"GeniusTV  - návod","SD",""
"ČT1 JM HD","HD",""
"ČT1 SVC HD","HD",""
"ČT1 JZC HD","HD",""
"Trailer","HD",""
"MenTV","HD",""
"FILMpro","HD",""
"Alšovka panorama","HD",""
"Alšovka malá sjezdovka","HD",""
"Alšovka velká sjezdovka","HD",""
"nám. 1.máje Chomutov","HD",""
"Kamencové jezero","HD",""
"Sporty TV","HD",""
"Warner TV","HD",""
